stock_code,stock_name,lot_size,exchange_code,stock_type,fno_exchange_code,expiry_date,month
CNXBAN,NIFTY BANK,30,NSE,equity,NFO,2025-04-24,APR-2025
CNXBAN,NIFTY BANK,30,NSE,equity,NFO,2025-05-29,MAY-2025
CNXBAN,NIFTY BANK,30,NSE,equity,NFO,2025-06-26,JUN-2025
NIFFIN,NIFTY FINANCIAL SERVICES INDEX,65,NSE,equity,NFO,2025-04-24,APR-2025
NIFFIN,NIFTY FINANCIAL SERVICES INDEX,65,NSE,equity,NFO,2025-05-29,MAY-2025
NIFNEX,NIFTY NEXT 50,25,NSE,equity,NFO,2025-04-24,APR-2025
NIFNEX,NIFTY NEXT 50,25,NSE,equity,NFO,2025-05-29,MAY-2025
NIFNEX,NIFTY NEXT 50,25,NSE,equity,NFO,2025-06-26,JUN-2025
NIFSEL,NIFTY MIDCAP SELECT,120,NSE,equity,NFO,2025-04-24,APR-2025
NIFSEL,NIFTY MIDCAP SELECT,120,NSE,equity,NFO,2025-05-29,MAY-2025
NIFSEL,NIFTY MIDCAP SELECT,120,NSE,equity,NFO,2025-06-26,JUN-2025
NIFTY,NIFTY 50,75,NSE,equity,NFO,2025-04-24,APR-2025
NIFTY,NIFTY 50,75,NSE,equity,NFO,2025-05-29,MAY-2025
NIFTY,NIFTY 50,75,NSE,equity,NFO,2025-06-26,JUN-2025
AARIND,AARTI INDUSTRIES LTD,1000,NSE,equity,NFO,2025-04-24,APR-2025
AARIND,AARTI INDUSTRIES LTD,1000,NSE,equity,NFO,2025-05-29,MAY-2025
AARIND,AARTI INDUSTRIES LTD,1000,NSE,equity,NFO,2025-06-26,JUN-2025
ABB,ABB INDIA LIMITED,125,NSE,equity,NFO,2025-04-24,APR-2025
ABB,ABB INDIA LIMITED,125,NSE,equity,NFO,2025-05-29,MAY-2025
ABB,ABB INDIA LIMITED,125,NSE,equity,NFO,2025-06-26,JUN-2025
ACC,ACC LIMITED,300,NSE,equity,NFO,2025-04-24,APR-2025
ACC,ACC LIMITED,300,NSE,equity,NFO,2025-05-29,MAY-2025
ACC,ACC LIMITED,300,NSE,equity,NFO,2025-06-26,JUN-2025
ADAENT,ADANI ENTERPRISES LIMITED,300,NSE,equity,NFO,2025-04-24,APR-2025
ADAENT,ADANI ENTERPRISES LIMITED,300,NSE,equity,NFO,2025-05-29,MAY-2025
ADAENT,ADANI ENTERPRISES LIMITED,300,NSE,equity,NFO,2025-06-26,JUN-2025
ADAGAS,ADANI TOTAL GAS LIMITED,775,NSE,equity,NFO,2025-04-24,APR-2025
ADAGAS,ADANI TOTAL GAS LIMITED,775,NSE,equity,NFO,2025-05-29,MAY-2025
ADAGAS,ADANI TOTAL GAS LIMITED,775,NSE,equity,NFO,2025-06-26,JUN-2025
ADAGRE,ADANI GREEN ENERGY LTD,375,NSE,equity,NFO,2025-04-24,APR-2025
ADAGRE,ADANI GREEN ENERGY LTD,375,NSE,equity,NFO,2025-05-29,MAY-2025
ADAGRE,ADANI GREEN ENERGY LTD,375,NSE,equity,NFO,2025-06-26,JUN-2025
ADAPOR,ADANI PORT AND SPECIAL ECONO,400,NSE,equity,NFO,2025-04-24,APR-2025
ADAPOR,ADANI PORT AND SPECIAL ECONO,400,NSE,equity,NFO,2025-05-29,MAY-2025
ADAPOR,ADANI PORT AND SPECIAL ECONO,400,NSE,equity,NFO,2025-06-26,JUN-2025
ADATRA,ADANI ENERGY SOLUTIONS LIMITED,625,NSE,equity,NFO,2025-04-24,APR-2025
ADATRA,ADANI ENERGY SOLUTIONS LIMITED,625,NSE,equity,NFO,2025-05-29,MAY-2025
ADATRA,ADANI ENERGY SOLUTIONS LIMITED,625,NSE,equity,NFO,2025-06-26,JUN-2025
ADICAP,ADITYA BIRLA CAPITAL LIMITED,2700,NSE,equity,NFO,2025-04-24,APR-2025
ADICAP,ADITYA BIRLA CAPITAL LIMITED,2700,NSE,equity,NFO,2025-05-29,MAY-2025
ADICAP,ADITYA BIRLA CAPITAL LIMITED,2700,NSE,equity,NFO,2025-06-26,JUN-2025
ADIFAS,ADITYA BIRLA FASHION & RTL LTD,2600,NSE,equity,NFO,2025-04-24,APR-2025
ADIFAS,ADITYA BIRLA FASHION & RTL LTD,2600,NSE,equity,NFO,2025-05-29,MAY-2025
ADIFAS,ADITYA BIRLA FASHION & RTL LTD,2600,NSE,equity,NFO,2025-06-26,JUN-2025
ALKLAB,ALKEM LABORATORIES LIMITED,100,NSE,equity,NFO,2025-04-24,APR-2025
ALKLAB,ALKEM LABORATORIES LIMITED,100,NSE,equity,NFO,2025-05-29,MAY-2025
AMBCE,AMBUJA CEMENTS LTD,900,NSE,equity,NFO,2025-04-24,APR-2025
AMBCE,AMBUJA CEMENTS LTD,900,NSE,equity,NFO,2025-05-29,MAY-2025
AMBCE,AMBUJA CEMENTS LTD,900,NSE,equity,NFO,2025-06-26,JUN-2025
ANGBRO,ANGEL ONE LIMITED,200,NSE,equity,NFO,2025-04-24,APR-2025
ANGBRO,ANGEL ONE LIMITED,200,NSE,equity,NFO,2025-05-29,MAY-2025
ANGBRO,ANGEL ONE LIMITED,200,NSE,equity,NFO,2025-06-26,JUN-2025
APLAPO,APL APOLLO TUBES LIMITED,350,NSE,equity,NFO,2025-04-24,APR-2025
APLAPO,APL APOLLO TUBES LIMITED,350,NSE,equity,NFO,2025-05-29,MAY-2025
