,Stock_code,SN,Lot_size,Status,Strike_percentage,Expiry_date,Number_of_lots
16541,CNXBAN,NIFTY BANK,30,0,10,2025-04-24,1
16544,NIFFIN,NIFTY FINANCIAL SERVICES INDEX,65,0,10,2025-04-24,1
16546,NIFNEX,NIFTY NEXT 50,25,0,10,2025-04-24,1
16548,NIFSEL,NIFTY MIDCAP SELECT,120,0,10,2025-04-24,1
16551,NIFTY,NIFTY 50,75,0,10,2025-04-24,1
16554,AARIND,AARTI INDUSTRIES LTD,1000,1,10,2025-04-24,1
16557,ABB,ABB INDIA LIMITED,125,1,10,2025-04-24,1
16560,ACC,ACC LIMITED,300,1,10,2025-04-24,1
16563,ADAENT,ADANI ENTERPRISES LIMITED,300,1,10,2025-04-24,1
16566,ADAGAS,ADANI TOTAL GAS LIMITED,775,1,10,2025-04-24,1
16569,ADAGRE,ADANI GREEN ENERGY LTD,375,1,10,2025-04-24,1
16572,ADAPOR,ADANI PORT AND SPECIAL ECONO,400,1,10,2025-04-24,1
16575,ADATRA,ADANI ENERGY SOLUTIONS LIMITED,625,1,10,2025-04-24,1
16578,ADICAP,ADITYA BIRLA CAPITAL LIMITED,2700,1,10,2025-04-24,1
16581,ADIFAS,ADITYA BIRLA FASHION & RTL LTD,2600,1,10,2025-04-24,1
16584,ALKLAB,ALKEM LABORATORIES LIMITED,100,1,10,2025-04-24,1
16592,AMBCE,AMBUJA CEMENTS LTD,900,1,10,2025-04-24,1
16595,ANGBRO,ANGEL ONE LIMITED,200,1,10,2025-04-24,1
16598,APLAPO,APL APOLLO TUBES LIMITED,350,1,10,2025-04-24,1
16600,APOHOS,APOLLO HOSPITALS ENTERPRISES L,125,1,10,2025-04-24,1
16603,APOTYR,APOLLO TYRES LTD,1700,1,10,2025-04-24,1
16605,ASHLEY,ASHOK LEYLAND LTD,2500,1,10,2025-04-24,1
16608,ASIPAI,ASIAN PAINTS INDIA LTD,200,1,10,2025-04-24,1
16611,ASTPOL,ASTRAL LIMITED,367,1,10,2025-04-24,1
16614,AURPHA,AUROBINDO PHARMA LTD,550,1,10,2025-04-24,1
16617,AUSMA,AU SMALL FINANCE BANK LTD,1000,1,10,2025-04-24,1
16620,AVESUP,AVENUE SUPERMARTS LTD DMART,150,1,10,2025-04-24,1
16623,AXIBAN,AXIS BANK LIMITED,625,1,10,2025-04-24,1
16626,BAAUTO,BAJAJ AUTO LIMITED,75,1,10,2025-04-24,1
16629,BAFINS,BAJAJ FINSERV LIMITED,500,1,10,2025-04-24,1
16632,BAJFI,BAJAJ FINANCE LIMITED,125,1,10,2025-04-24,1
16635,BALIND,BALKRISHNA INDUSTRIES LTD,300,1,10,2025-04-24,1
16637,BANBAN,BANDHAN BANK LIMITED,2800,1,10,2025-04-24,1
16640,BANBAR,BANK OF BARODA,2925,1,10,2025-04-24,1
16643,BANIND,BANK OF INDIA,4825,1,10,2025-04-24,1
16646,BERPAI,BERGER PAINTS INDIA LTD,1320,1,10,2025-04-24,1
16647,BHAAIR,BHARTI AIRTEL LTD,475,1,10,2025-04-24,1
16650,BHAELE,BHARAT ELECTRONICS LTD,2850,1,10,2025-04-24,1
16653,BHAFOR,BHARAT FORGE LIMITED,500,1,10,2025-04-24,1
