stock_code,stock_name,lot_size,exchange_code,stock_type,fno_exchange_code,expiry_date
CNXBAN,NIFTY BANK,30,NSE,index,NFO,"('APR-2025', datetime.date(2025, 4, 24))"
NIFFIN,NIFTY FINANCIAL SERVICES INDEX,65,NSE,index,NFO,"('APR-2025', datetime.date(2025, 4, 24))"
NIFNEX,NIFTY NEXT 50,25,NSE,index,NFO,"('APR-2025', datetime.date(2025, 4, 24))"
NIFSEL,NIFTY MIDCAP SELECT,120,NSE,index,NFO,"('APR-2025', datetime.date(2025, 4, 24))"
NIFTY,NIFTY 50,75,NSE,index,NFO,"('APR-2025', datetime.date(2025, 4, 24))"
AARIND,AARTI INDUSTRIES LTD,1000,NSE,equity,NFO,"('APR-2025', datetime.date(2025, 4, 24))"
ABB,ABB INDIA LIMITED,125,NSE,equity,NFO,"('APR-2025', datetime.date(2025, 4, 24))"
ACC,ACC LIMITED,300,NSE,equity,NFO,"('APR-2025', datetime.date(2025, 4, 24))"
ADAENT,ADANI ENTERPRISES LIMITED,300,NSE,equity,NFO,"('APR-2025', datetime.date(2025, 4, 24))"
ADAGAS,ADANI TOTAL GAS LIMITED,775,NSE,equity,NFO,"('APR-2025', datetime.date(2025, 4, 24))"
ADAGRE,ADANI GREEN ENERGY LTD,375,NSE,equity,NFO,"('APR-2025', datetime.date(2025, 4, 24))"
ADAPOR,ADANI PORT AND SPECIAL ECONO,400,NSE,equity,NFO,"('APR-2025', datetime.date(2025, 4, 24))"
ADATRA,ADANI ENERGY SOLUTIONS LIMITED,625,NSE,equity,NFO,"('APR-2025', datetime.date(2025, 4, 24))"
ADICAP,ADITYA BIRLA CAPITAL LIMITED,2700,NSE,equity,NFO,"('APR-2025', datetime.date(2025, 4, 24))"
ADIFAS,ADITYA BIRLA FASHION & RTL LTD,2600,NSE,equity,NFO,"('APR-2025', datetime.date(2025, 4, 24))"
ALKLAB,ALKEM LABORATORIES LIMITED,100,NSE,equity,NFO,"('APR-2025', datetime.date(2025, 4, 24))"
AMBCE,AMBUJA CEMENTS LTD,900,NSE,equity,NFO,"('APR-2025', datetime.date(2025, 4, 24))"
ANGBRO,ANGEL ONE LIMITED,200,NSE,equity,NFO,"('APR-2025', datetime.date(2025, 4, 24))"
APLAPO,APL APOLLO TUBES LIMITED,350,NSE,equity,NFO,"('APR-2025', datetime.date(2025, 4, 24))"
APOHOS,APOLLO HOSPITALS ENTERPRISES L,125,NSE,equity,NFO,"('APR-2025', datetime.date(2025, 4, 24))"
APOTYR,APOLLO TYRES LTD,1700,NSE,equity,NFO,"('APR-2025', datetime.date(2025, 4, 24))"
ASHLEY,ASHOK LEYLAND LTD,2500,NSE,equity,NFO,"('APR-2025', datetime.date(2025, 4, 24))"
ASIPAI,ASIAN PAINTS INDIA LTD,200,NSE,equity,NFO,"('APR-2025', datetime.date(2025, 4, 24))"
ASTPOL,ASTRAL LIMITED,367,NSE,equity,NFO,"('APR-2025', datetime.date(2025, 4, 24))"
