Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Stock_code,SN,Lot_size,Status,Strike_percentage,Expiry_date,Number_of_lots
0,0,0,0,0,AARIND,AARTI INDUSTRIES LTD,1000,1,10,2025-06-26,1
1,1,1,1,1,ABB,ABB INDIA LIMITED,125,1,10,2025-06-26,1
2,2,2,2,2,ACC,ACC LIMITED,300,1,10,2025-06-26,1
3,3,3,3,3,ADAENT,ADANI ENTERPRISES LIMITED,300,1,10,2025-06-26,1
4,4,4,4,4,ADAGRE,ADANI GREEN ENERGY LTD,375,1,10,2025-06-26,1
5,5,5,5,5,ADAPOR,ADANI PORT AND SPECIAL ECONO,400,1,10,2025-06-26,1
6,6,6,6,6,ADATRA,ADANI ENERGY SOLUTIONS LIMITED,625,1,10,2025-06-26,1
7,7,7,7,7,AURPHA,AUROBINDO PHARMA LTD,550,1,10,2025-06-26,1
8,8,8,8,8,AUSMA,AU SMALL FINANCE BANK LTD,1000,1,10,2025-06-26,1
9,9,9,9,9,AVESUP,AVENUE SUPERMARTS LTD DMART,150,1,10,2025-06-26,1
10,10,10,10,10,AXIBAN,AXIS BANK LIMITED,625,1,10,2025-06-26,1
11,11,11,11,11,BAAUTO,BAJAJ AUTO LIMITED,75,1,10,2025-06-26,1
12,12,12,12,12,BAFINS,BAJAJ FINSERV LIMITED,500,1,10,2025-06-26,1
13,13,13,13,13,BAJFI,BAJAJ FINANCE LIMITED,125,1,10,2025-06-26,1
14,14,14,14,14,BALIND,BALKRISHNA INDUSTRIES LTD,300,1,10,2025-06-26,1
15,15,15,15,15,BERPAI,BERGER PAINTS INDIA LTD,1320,1,10,2025-06-26,1
16,16,16,16,16,BHAAIR,BHARTI AIRTEL LTD,475,1,10,2025-06-26,1
17,17,17,17,17,BHAFOR,BHARAT FORGE LIMITED,500,1,10,2025-06-26,1
18,18,18,18,18,BHAINF,INDUS TOWERS LIMITED,1700,1,10,2025-06-26,1
19,19,19,19,19,BHAPET,BHARAT PETROLEUM CORPN LTD,1800,1,10,2025-06-26,1
20,20,20,20,20,BIOCON,BIOCON LIMITED,2500,1,10,2025-06-26,1
21,21,21,21,21,BOSLIM,BOSCH LIMITED,25,1,10,2025-06-26,1
22,22,22,22,22,BSE,BSE LIMITED,125,1,10,2025-06-26,1
