,Unnamed: 0,Stock_code,SN,Lot_size,Status,Strike_percentage,Expiry_date,Number_of_lots
0,16541,CNXBAN,NIFTY BANK,30,0,10,2025-07-31,1
1,16544,NIFFIN,NIFTY FINANCIAL SERVICES INDEX,65,0,10,2025-07-31,1
2,16546,NIFNEX,NIFTY NEXT 50,25,0,10,2025-07-31,1
3,16548,NIFSEL,NIFTY MIDCAP SELECT,120,0,10,2025-07-31,1
4,16551,NIFTY,NIFTY 50,75,0,10,2025-07-31,1
5,16554,AARIND,AARTI INDUSTRIES LTD,1000,1,10,2025-07-31,1
6,16557,ABB,ABB INDIA LIMITED,125,1,10,2025-07-31,1
7,16560,ACC,ACC LIMITED,300,1,10,2025-07-31,1
8,16563,ADAENT,ADANI ENTERPRISES LIMITED,300,1,10,2025-07-31,1
9,16566,ADAGAS,ADANI TOTAL GAS LIMITED,775,1,10,2025-07-31,1
10,16569,ADAGRE,ADANI GREEN ENERGY LTD,375,1,10,2025-07-31,1
11,16572,ADAPOR,ADANI PORT AND SPECIAL ECONO,400,1,10,2025-07-31,1
12,16575,ADATRA,ADANI ENERGY SOLUTIONS LIMITED,625,1,10,2025-07-31,1
13,16578,ADICAP,ADITYA BIRLA CAPITAL LIMITED,2700,1,10,2025-07-31,1
14,16581,ADIFAS,ADITYA BIRLA FASHION & RTL LTD,2600,1,10,2025-07-31,1
15,16584,ALKLAB,ALKEM LABORATORIES LIMITED,100,1,10,2025-07-31,1
16,16592,AMBCE,AMBUJA CEMENTS LTD,900,1,10,2025-07-31,1
17,16595,ANGBRO,ANGEL ONE LIMITED,200,1,10,2025-07-31,1
18,16598,APLAPO,APL APOLLO TUBES LIMITED,350,1,10,2025-07-31,1
19,16600,APOHOS,APOLLO HOSPITALS ENTERPRISES L,125,1,10,2025-07-31,1
20,16603,APOTYR,APOLLO TYRES LTD,1700,1,10,2025-07-31,1
21,16605,ASHLEY,ASHOK LEYLAND LTD,2500,1,10,2025-07-31,1
22,16608,ASIPAI,ASIAN PAINTS INDIA LTD,200,1,10,2025-07-31,1
23,16611,ASTPOL,ASTRAL LIMITED,367,1,10,2025-07-31,1
24,16614,AURPHA,AUROBINDO PHARMA LTD,550,1,10,2025-07-31,1
25,16617,AUSMA,AU SMALL FINANCE BANK LTD,1000,1,10,2025-07-31,1
26,16620,AVESUP,AVENUE SUPERMARTS LTD DMART,150,1,10,2025-07-31,1
27,16623,AXIBAN,AXIS BANK LIMITED,625,1,10,2025-07-31,1
28,16626,BAAUTO,BAJAJ AUTO LIMITED,75,1,10,2025-07-31,1
29,16629,BAFINS,BAJAJ FINSERV LIMITED,500,1,10,2025-07-31,1
30,16632,BAJFI,BAJAJ FINANCE LIMITED,125,1,10,2025-07-31,1
31,16635,BALIND,BALKRISHNA INDUSTRIES LTD,300,1,10,2025-07-31,1
32,16637,BANBAN,BANDHAN BANK LIMITED,2800,1,10,2025-07-31,1
33,16640,BANBAR,BANK OF BARODA,2925,1,10,2025-07-31,1
34,16643,BANIND,BANK OF INDIA,4825,1,10,2025-07-31,1
35,16646,BERPAI,BERGER PAINTS INDIA LTD,1320,1,10,2025-07-31,1
36,16647,BHAAIR,BHARTI AIRTEL LTD,475,1,10,2025-07-31,1
37,16650,BHAELE,BHARAT ELECTRONICS LTD,2850,1,10,2025-07-31,1
38,16653,BHAFOR,BHARAT FORGE LIMITED,500,1,10,2025-07-31,1
39,16656,BHAINF,INDUS TOWERS LIMITED,1700,1,10,2025-07-31,1
40,16659,BHAPET,BHARAT PETROLEUM CORPN LTD,1800,1,10,2025-07-31,1
41,16662,BHEL,BHARAT HEAVY ELECTRICALS LTD,2625,1,10,2025-07-31,1
42,16665,BIOCON,BIOCON LIMITED,2500,1,10,2025-07-31,1
43,16668,BOSLIM,BOSCH LIMITED,25,1,10,2025-07-31,1
44,16670,BRIIND,BRITANNIA INDUSTRIES LTD,100,1,10,2025-07-31,1
45,16673,BSE,BSE LIMITED,125,1,10,2025-07-31,1
46,16676,CADHEA,ZYDUS LIFESCIENCES LIMITED,900,1,10,2025-07-31,1
47,16679,CANBAN,CANARA BANK,6750,1,10,2025-07-31,1
48,16682,CDSL,CENTRAL DEPOSITORY SER IND LTD,350,1,10,2025-07-31,1
49,16685,CESC,CESC LIMITED,2925,1,10,2025-07-31,1
50,16687,CHAFER,CHAMBAL FERTILISERS & CHEMICAL,1900,1,10,2025-07-31,1
51,16689,CHOINV,CHOLAMANDALAM INVESTMENT AND F,625,1,10,2025-07-31,1
52,16692,CIPLA,CIPLA LIMITED,325,1,10,2025-07-31,1
53,16695,COALIN,COAL INDIA LIMITED,1050,1,10,2025-07-31,1
54,16698,COLPAL,COLGATE-PALMOLIVE (INDIA) LTD,175,1,10,2025-07-31,1
55,16701,COMAGE,COMPUTER AGE MANAGEMENT SERV,125,1,10,2025-07-31,1
56,16704,CONCOR,CONTAINER CORPORATION OF INDIA,1000,1,10,2025-07-31,1
57,16710,CROGR,CROMPTON GREAVES CONS ELEC LTD,1800,1,10,2025-07-31,1
58,16713,CROGRE,CG POWER AND IND SOLUTIONS LTD,725,1,10,2025-07-31,1
59,16722,CUMIND,CUMMINS INDIA LTD,150,1,10,2025-07-31,1
60,16725,CYILIM,CYIENT LIMITED,300,1,10,2025-07-31,1
61,16728,DABIND,DABUR INDIA LTD,1250,1,10,2025-07-31,1
62,16731,DEENIT,DEEPAK NITRITE LIMITED,300,1,10,2025-07-31,1
63,16733,DELLIM,DELHIVERY LIMITED,1525,1,10,2025-07-31,1
64,16736,DIVLAB,DIVIS LABORATORIES LIMITED,100,1,10,2025-07-31,1
65,16739,DIXTEC,DIXON TECHNOLOGIES INDIA LTD,50,1,10,2025-07-31,1
66,16742,DLFLIM,DLF LIMITED,825,1,10,2025-07-31,1
67,16745,DRREDD,DR REDDYS LABORATORIES LTD,625,1,10,2025-07-31,1
68,16748,EICMOT,EICHER MOTORS LTD,175,1,10,2025-07-31,1
69,16751,ESCORT,ESCORTS KUBOTA LIMITED,150,1,10,2025-07-31,1
70,16753,EXIIND,EXIDE INDUSTRIES LTD,1800,1,10,2025-07-31,1
71,16756,FEDBAN,FEDERAL BANK LTD,5000,1,10,2025-07-31,1
72,16759,FSNECO,FSN ECOMMERCE VENTURES NYKAA,2950,1,10,2025-07-31,1
73,16761,GAIL,GAIL (INDIA) LIMITED,2350,1,10,2025-07-31,1
74,16764,GLEPHA,GLENMARK PHARMACEUTICALS LTD,325,1,10,2025-07-31,1
75,16766,GMRINF,GMR AIRPORTS LIMITED,5625,1,10,2025-07-31,1
76,16769,GODCON,GODREJ CONSUMER PRODUCTS LTD,500,1,10,2025-07-31,1
77,16771,GODPRO,GODREJ PROPERTIES LIMITED,225,1,10,2025-07-31,1
78,16786,GRANUL,GRANULES INDIA LIMITED,1000,1,10,2025-07-31,1
79,16789,GRASIM,GRASIM INDUSTRIES LIMITED,250,1,10,2025-07-31,1
80,16792,HAVIND,HAVELLS INDIA LIMITED,500,1,10,2025-07-31,1
81,16795,HCLTEC,HCL TECHNOLOGIES LIMITED,350,1,10,2025-07-31,1
82,16798,HDFAMC,HDFC ASSET MANAGEMENT CO LTD,150,1,10,2025-07-31,1
83,16801,HDFBAN,HDFC BANK LIMITED,550,1,10,2025-07-31,1
84,16804,HDFSTA,HDFC LIFE INSURANCE COM LTD,1100,1,10,2025-07-31,1
85,16807,HERHON,HERO MOTOCORP LIMITED,150,1,10,2025-07-31,1
86,16810,HIMFUT,HFCL LIMITED,4150,1,10,2025-07-31,1
87,16813,HINAER,HINDUSTAN AERONAUTICS LIMITED,150,1,10,2025-07-31,1
88,16816,HINCOP,HINDUSTAN COPPER LIMITED,2650,1,10,2025-07-31,1
89,16819,HINDAL,HINDALCO INDUSTRIES LIMITED,1400,1,10,2025-07-31,1
90,16822,HINLEV,HINDUSTAN UNILEVER LIMITED,300,1,10,2025-07-31,1
91,16825,HINPET,HINDUSTAN PETROLEUM CORP,2025,1,10,2025-07-31,1
92,16828,HINZIN,HINDUSTAN ZINC LTD,1225,1,10,2025-07-31,1
93,16831,HUDCO,HOUSING URBAN DEV CO LTD HUDCO,2425,1,10,2025-07-31,1
94,16834,ICIBAN,ICICI BANK LIMITED,700,1,10,2025-07-31,1
95,16837,ICILOM,ICICI LOMBARD GEN INSURANCE CO,250,1,10,2025-07-31,1
96,16839,ICIPRU,ICICI PRUDENTIAL LIFE INS CO,750,1,10,2025-07-31,1
